_id,BETRIEBSTAG,FAHRT_BEZEICHNER,BETREIBER_ID,BETREIBER_ABK,BETREIBER_NAME,PRODUKT_ID,LINIEN_ID,LINIEN_TEXT,UMLAUF_ID,VERKEHRSMITTEL_TEXT,ZUSATZFAHRT_TF,FAELLT_AUS_TF,BPUIC,HALTESTELLEN_NAME,ANKUNFTSZEIT,AN_PROGNOSE,AN_PROGNOSE_STATUS,ABFAHRTSZEIT,AB_PROGNOSE,AB_PROGNOSE_STATUS,DURCHFAHRT_TF
2485701,14.04.2025,85:96:4103:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4103,S14,,S,false,false,8502123,Buchs AG,14.04.2025 06:12,14.04.2025 06:12:15,REAL,14.04.2025 06:12,14.04.2025 06:12:38,REAL,false
2485720,14.04.2025,85:96:4105:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4105,S14,,S,false,false,8502123,Buchs AG,14.04.2025 06:42,14.04.2025 06:43:21,REAL,14.04.2025 06:42,14.04.2025 06:43:58,REAL,false
2485753,14.04.2025,85:96:4106:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4106,S14,,S,false,false,8502123,Buchs AG,14.04.2025 05:45,14.04.2025 05:46:52,REAL,14.04.2025 05:45,14.04.2025 05:47:19,REAL,false
2485758,14.04.2025,85:96:4107:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4107,S14,,S,false,false,8502123,Buchs AG,14.04.2025 07:12,14.04.2025 07:13:03,REAL,14.04.2025 07:12,14.04.2025 07:13:29,REAL,false
2485791,14.04.2025,85:96:4108:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4108,S14,,S,false,false,8502123,Buchs AG,14.04.2025 06:15,14.04.2025 06:16:29,REAL,14.04.2025 06:15,14.04.2025 06:17:06,REAL,false
2485796,14.04.2025,85:96:4109:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4109,S14,,S,false,false,8502123,Buchs AG,14.04.2025 07:42,14.04.2025 07:42:46,REAL,14.04.2025 07:42,14.04.2025 07:43:03,REAL,false
2485829,14.04.2025,85:96:4110:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4110,S14,,S,false,false,8502123,Buchs AG,14.04.2025 06:45,14.04.2025 06:47:13,REAL,14.04.2025 06:45,14.04.2025 06:47:37,REAL,false
2485834,14.04.2025,85:96:4111:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4111,S14,,S,false,false,8502123,Buchs AG,14.04.2025 08:12,14.04.2025 08:13:11,REAL,14.04.2025 08:12,14.04.2025 08:13:32,REAL,false
2485867,14.04.2025,85:96:4112:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4112,S14,,S,false,false,8502123,Buchs AG,14.04.2025 07:15,14.04.2025 07:16:45,REAL,14.04.2025 07:15,14.04.2025 07:17:10,REAL,false
2485872,14.04.2025,85:96:4113:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4113,S14,,S,false,false,8502123,Buchs AG,14.04.2025 08:42,14.04.2025 08:42:56,REAL,14.04.2025 08:42,14.04.2025 08:43:13,REAL,false
2485905,14.04.2025,85:96:4114:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4114,S14,,S,false,false,8502123,Buchs AG,14.04.2025 07:45,14.04.2025 07:46:14,REAL,14.04.2025 07:45,14.04.2025 07:46:39,REAL,false
2485910,14.04.2025,85:96:4115:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4115,S14,,S,false,false,8502123,Buchs AG,14.04.2025 09:12,14.04.2025 09:13:45,REAL,14.04.2025 09:12,14.04.2025 09:14:09,REAL,false
2485943,14.04.2025,85:96:4116:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4116,S14,,S,false,false,8502123,Buchs AG,14.04.2025 08:15,14.04.2025 08:16:39,REAL,14.04.2025 08:15,14.04.2025 08:17:12,REAL,false
2485948,14.04.2025,85:96:4117:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4117,S14,,S,false,false,8502123,Buchs AG,14.04.2025 09:42,14.04.2025 09:42:22,REAL,14.04.2025 09:42,14.04.2025 09:42:39,REAL,false
2485981,14.04.2025,85:96:4118:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4118,S14,,S,false,false,8502123,Buchs AG,14.04.2025 08:45,14.04.2025 08:47:02,REAL,14.04.2025 08:45,14.04.2025 08:47:34,REAL,false
2485986,14.04.2025,85:96:4119:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4119,S14,,S,false,false,8502123,Buchs AG,14.04.2025 10:12,14.04.2025 10:12:11,REAL,14.04.2025 10:12,14.04.2025 10:12:29,REAL,false
2486019,14.04.2025,85:96:4120:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4120,S14,,S,false,false,8502123,Buchs AG,14.04.2025 09:15,14.04.2025 09:17:20,REAL,14.04.2025 09:15,14.04.2025 09:17:49,REAL,false
2486024,14.04.2025,85:96:4121:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4121,S14,,S,false,false,8502123,Buchs AG,14.04.2025 10:42,14.04.2025 10:42:31,REAL,14.04.2025 10:42,14.04.2025 10:42:58,REAL,false
2486057,14.04.2025,85:96:4122:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4122,S14,,S,false,false,8502123,Buchs AG,14.04.2025 09:45,14.04.2025 09:46:06,REAL,14.04.2025 09:45,14.04.2025 09:46:28,REAL,false
2486062,14.04.2025,85:96:4123:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4123,S14,,S,false,false,8502123,Buchs AG,14.04.2025 11:12,14.04.2025 11:12:53,REAL,14.04.2025 11:12,14.04.2025 11:13:16,REAL,false
2486095,14.04.2025,85:96:4124:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4124,S14,,S,false,false,8502123,Buchs AG,14.04.2025 10:15,14.04.2025 10:16:13,REAL,14.04.2025 10:15,14.04.2025 10:16:39,REAL,false
2486100,14.04.2025,85:96:4125:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4125,S14,,S,false,false,8502123,Buchs AG,14.04.2025 11:42,14.04.2025 11:42:26,REAL,14.04.2025 11:42,14.04.2025 11:42:53,REAL,false
2486133,14.04.2025,85:96:4126:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4126,S14,,S,false,false,8502123,Buchs AG,14.04.2025 10:45,14.04.2025 10:46:04,REAL,14.04.2025 10:45,14.04.2025 10:46:36,REAL,false
2486138,14.04.2025,85:96:4127:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4127,S14,,S,false,false,8502123,Buchs AG,14.04.2025 12:12,14.04.2025 12:12:23,REAL,14.04.2025 12:12,14.04.2025 12:12:45,REAL,false
2486171,14.04.2025,85:96:4128:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4128,S14,,S,false,false,8502123,Buchs AG,14.04.2025 11:15,14.04.2025 11:16:19,REAL,14.04.2025 11:15,14.04.2025 11:16:47,REAL,false
2486176,14.04.2025,85:96:4129:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4129,S14,,S,false,false,8502123,Buchs AG,14.04.2025 12:42,14.04.2025 12:42:51,REAL,14.04.2025 12:42,14.04.2025 12:43:21,REAL,false
2486209,14.04.2025,85:96:4130:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4130,S14,,S,false,false,8502123,Buchs AG,14.04.2025 11:45,14.04.2025 11:46:00,REAL,14.04.2025 11:45,14.04.2025 11:46:27,REAL,false
2486214,14.04.2025,85:96:4131:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4131,S14,,S,false,false,8502123,Buchs AG,14.04.2025 13:12,14.04.2025 13:12:57,REAL,14.04.2025 13:12,14.04.2025 13:13:17,REAL,false
2486247,14.04.2025,85:96:4132:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4132,S14,,S,false,false,8502123,Buchs AG,14.04.2025 12:15,14.04.2025 12:16:09,REAL,14.04.2025 12:15,14.04.2025 12:16:37,REAL,false
2486252,14.04.2025,85:96:4133:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4133,S14,,S,false,false,8502123,Buchs AG,14.04.2025 13:42,14.04.2025 13:43:08,REAL,14.04.2025 13:42,14.04.2025 13:43:31,REAL,false
2486285,14.04.2025,85:96:4134:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4134,S14,,S,false,false,8502123,Buchs AG,14.04.2025 12:45,14.04.2025 12:46:27,REAL,14.04.2025 12:45,14.04.2025 12:46:55,REAL,false
2486290,14.04.2025,85:96:4135:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4135,S14,,S,false,false,8502123,Buchs AG,14.04.2025 14:12,14.04.2025 14:13:21,REAL,14.04.2025 14:12,14.04.2025 14:13:56,REAL,false
2486323,14.04.2025,85:96:4136:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4136,S14,,S,false,false,8502123,Buchs AG,14.04.2025 13:15,14.04.2025 13:16:25,REAL,14.04.2025 13:15,14.04.2025 13:16:57,REAL,false
2486328,14.04.2025,85:96:4137:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4137,S14,,S,false,false,8502123,Buchs AG,14.04.2025 14:42,14.04.2025 14:43:09,REAL,14.04.2025 14:42,14.04.2025 14:43:37,REAL,false
2486361,14.04.2025,85:96:4138:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4138,S14,,S,false,false,8502123,Buchs AG,14.04.2025 13:45,14.04.2025 13:46:36,REAL,14.04.2025 13:45,14.04.2025 13:47:00,REAL,false
2486366,14.04.2025,85:96:4139:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4139,S14,,S,false,false,8502123,Buchs AG,14.04.2025 15:12,14.04.2025 15:12:17,REAL,14.04.2025 15:12,14.04.2025 15:12:38,REAL,false
2486399,14.04.2025,85:96:4140:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4140,S14,,S,false,false,8502123,Buchs AG,14.04.2025 14:15,14.04.2025 14:17:01,REAL,14.04.2025 14:15,14.04.2025 14:17:33,REAL,false
2486404,14.04.2025,85:96:4141:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4141,S14,,S,false,false,8502123,Buchs AG,14.04.2025 15:42,14.04.2025 15:42:59,REAL,14.04.2025 15:42,14.04.2025 15:43:21,REAL,false
2486437,14.04.2025,85:96:4142:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4142,S14,,S,false,false,8502123,Buchs AG,14.04.2025 14:45,14.04.2025 14:46:56,REAL,14.04.2025 14:45,14.04.2025 14:47:10,REAL,false
2486442,14.04.2025,85:96:4143:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4143,S14,,S,false,false,8502123,Buchs AG,14.04.2025 16:12,14.04.2025 16:12:58,REAL,14.04.2025 16:12,14.04.2025 16:13:24,REAL,false
2486475,14.04.2025,85:96:4144:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4144,S14,,S,false,false,8502123,Buchs AG,14.04.2025 15:15,14.04.2025 15:16:02,REAL,14.04.2025 15:15,14.04.2025 15:16:32,REAL,false
2486480,14.04.2025,85:96:4145:000,85:96,AVA-wsb,Aargau Verkehr AG,Zug,4145,S14,,S,false,false,8502123,Buchs AG,14.04.2025 16:42,14.04.2025 16:43:01,REAL,14.04.2025 16:42,14.04.2025 16:43:26,REAL,false
